codigo_proyecto,nombre_proyecto,codigo_subdivision,nombre_subdivision,nombre_tipologia,nombre,total_habitaciones,precio_lista,precio lista miles,precio_venta,estado_comercial,Estado comercial,PISO,P_m2 dolares con dscto y area libre,area_techada,area_libre,area_total
TP00,Tradiciones Prime,,,Tipo SS001,SS001,2,874319,S/ 874.32,821859.86,vendido,Separado/Vendido,0,$2123,88.27,28.86,117.13
NP,Torre Nápoles,NP-B,Torre B,,A115,,256531.12,S/ 256.53,0,no disponible,No Disponible,1,$1303,38.28,12.51,50.79
NP,Torre Nápoles,NP-B,Torre B,,A112,,345804.37,S/ 345.80,0,no disponible,No Disponible,1,$1073,52.4,27.87,80.27
NP,Torre Nápoles,NP-B,Torre B,,A111,,365998.29,S/ 366.00,0,no disponible,No Disponible,1,$1246,55.46,19.93,75.39
NP,Torre Nápoles,NP-B,Torre B,,A114,,391324.58,S/ 391.32,0,no disponible,No Disponible,1,$1334,59,16.46,75.46
NP,Torre Nápoles,NP-B,Torre B,,A113,,393579.67,S/ 393.58,0,no disponible,No Disponible,1,$1274,59.34,20.14,79.48
ES,Edificio Saenz,,,101,101,3,624700,S/ 624.70,624700,vendido,Separado/Vendido,1,$1777,76.85,27.87,104.72
CRUZ,Edificio Santa Cruz Infinite,,,101,101,3,653800,S/ 653.80,497700,proceso de separación,Separado/Vendido,1,$1555,71.27,20.16,91.43
CUBA,Edificio Cuba Connect,,,101,101,3,789340,S/ 789.34,566697,vendido,Separado/Vendido,1,$1538,77.22,30.36,107.58
MD,Modena,,,101 - 63.17 - 2 dorm - Interna,101,2,493652.73,S/ 493.65,430000,proceso de separación,Separado/Vendido,1,$2060,47.14,16.03,63.17
CRUZ,Edificio Santa Cruz Infinite,,,102,102,3,509700,S/ 509.70,509700,vendido,Separado/Vendido,1,$1555,72.76,21,93.76
ES,Edificio Saenz,,,102,102,3,651800,S/ 651.80,631800,proceso de separación,Separado/Vendido,1,$1748,77.36,31,108.36
CUBA,Edificio Cuba Connect,,,102,102,3,1001429,S/ 1001.43,1001429,vendido,Separado/Vendido,1,$2294,99.41,35.49,134.9
MD,Modena,,,102 - 54.25 - 1 dorm - Interna,102,1,424782.53,S/ 424.78,0,disponible,Disponible,1,$2141,40.65,13.57,54.22
ES,Edificio Saenz,,,103,103,3,704800,S/ 704.80,684800,proceso de separación,Separado/Vendido,1,$1751,85.46,30.54,116
ES,Edificio Saenz,,,104,104,3,659200,S/ 659.20,659200,proceso de separación,Separado/Vendido,1,$1819,81.69,24.85,106.54
MT,Matera,MT-A,Torre A,A101 - 65.20 - 2 dorm - Externa,A101,2,597858.22,S/ 597.86,0,disponible,Disponible,1,$2453,54.94,10.63,65.57
CP,Capadocia,CP-A,Torre A,A101 - 87.73 - 3 dorm - Externa,A101,3,701689.42,S/ 701.69,0,disponible,Disponible,1,$2127,69.59,18.14,87.73
MT,Matera,MT-A,Torre A,A102 - 48.96 - 1 dorm - Externa,A102,1,416862.11,S/ 416.86,383513.14,vendido,Separado/Vendido,1,$2335,40.68,8.66,49.34
CP,Capadocia,CP-A,Torre A,A102 - 73.23 - 1 dorm - Externa,A102,2,598524.9,S/ 598.52,0,no disponible,No Disponible,1,$2187,57.71,15.52,73.23
MT,Matera,MT-A,Torre A,A103 - 65.93 - 2 dorm - Interna,A103,2,567221.78,S/ 567.22,0,disponible,Disponible,1,$2264,56.99,8.92,65.91
MT,Matera,MT-A,Torre A,A104 - 51.23 - 1 dorm - Interna,A104,1,414316.11,S/ 414.32,0,disponible,Disponible,1,$2185,41.82,9.41,51.23
MT,Matera,MT-A,Torre A,A105 - 47.41 - 1 dorm - Interna,A105,1,399411.67,S/ 399.41,0,disponible,Disponible,1,$2185,40.04,9.66,49.7
MT,Matera,MT-A,Torre A,A106 - 62.23 - 2 dorm - Interna,A106,2,526405.56,S/ 526.41,0,disponible,Disponible,1,$2216,54.21,7.93,62.14
MT,Matera,MT-B,Torre B,B101 - 70.95 - 2 dorm - Interna,B101,2,569130.22,S/ 569.13,0,disponible,Disponible,1,$2165,57.05,14.93,71.98
CP,Capadocia,CP-B,Torre B,B101 - 73.96 - 2 dorm - Externa,B101,2,662689.25,S/ 662.69,0,disponible,Disponible,1,$2276,65.04,8.92,73.96
MT,Matera,MT-B,Torre B,B102 - 59.09 - 1 dorm - Interna,B102,1,469205,S/ 469.21,0,disponible,Disponible,1,$2318,41.63,17.65,59.28
CP,Capadocia,CP-B,Torre B,B102 - 80.24 - 2 dorm - Externa,B102,2,687965.39,S/ 687.97,0,disponible,Disponible,1,$2271,65.05,15.19,80.24
MT,Matera,MT-B,Torre B,B103 - 55.47 - 1 dorm - Externa,B103,1,486089.67,S/ 486.09,0,disponible,Disponible,1,$2420,44.19,11.28,55.47
CP,Capadocia,CP-B,Torre B,B103 - 60.19 - 2 dorm - Interna,B103,2,521248.94,S/ 521.25,0,disponible,Disponible,1,$2227,51.56,8.63,60.19
CP,Capadocia,CP-B,Torre B,B104 - 85.54 - 3 dorm - Interna,B104,3,645049.37,S/ 645.05,0,disponible,Disponible,1,$2030,65.29,20.25,85.54
CP,Capadocia,CP-B,Torre B,B105 - 85.56 - 3 dorm - Interna,B105,3,651854.33,S/ 651.85,619262,vendido,Separado/Vendido,1,$2109,69.78,15.78,85.56
CP,Capadocia,CP-B,Torre B,B106 - 77.02 - 3 dorm - Interna,B106,3,617927.93,S/ 617.93,0,disponible,Disponible,1,$2128,61.48,15.54,77.02
SL,Sialia,,,Tipo 101,101,1,388645,S/ 388.65,0,disponible,Disponible,1,$2050,40.15,9.74,49.89
GY,Alicanto,,,Tipo 101,101,2,523551.63,S/ 523.55,0,disponible,Disponible,1,$2056,55.24,10.41,65.65
FX,Fenix,,,Tipo 101,101,1,547000,S/ 547.00,0,no disponible,No Disponible,1,$2501,43.36,21.12,64.48
TP00,Tradiciones Prime,,,Tipo 101,101,3,952196,S/ 952.20,0,no disponible,No Disponible,1,$2006,112.43,0,112.43
SL,Sialia,,,Tipo 102,102,2,609722.67,S/ 609.72,0,disponible,Disponible,1,$2050,58.16,25.18,83.34
FX,Fenix,,,Tipo 102,102,2,616000,S/ 616.00,0,disponible,Disponible,1,$2498,52.06,15.86,67.92
GY,Alicanto,,,Tipo 102,102,3,694989.25,S/ 694.99,0,disponible,Disponible,1,$2164,70.49,12.07,82.56
TP00,Tradiciones Prime,,,Tipo 102,102,3,1124407.2,S/ 1124.41,0,disponible,Disponible,1,$2054,128.83,1.66,130.49
SL,Sialia,,,Tipo 103,103,2,454149.39,S/ 454.15,454149.39,vendido,Separado/Vendido,1,$2050,48.06,20.99,69.05
FX,Fenix,,,Tipo 103,103,3,718918.12,S/ 718.92,647094.4,vendido,Separado/Vendido,1,$2200,65.99,25.11,91.1
SL,Sialia,,,Tipo 104,104,1,721000,S/ 721.00,721000.22,vendido,Separado/Vendido,1,$2047,81.73,22.44,104.17
TZ,Tizón y Bueno,,,Tipo 104,104,3,748888.89,S/ 748.89,674000,vendido,Separado/Vendido,1,$2153,73.49,19.17,92.66
TZ,Tizón y Bueno,,,Tipo 105,105,2,515087.78,S/ 515.09,463579.2,vendido,Separado/Vendido,1,$1941,56.94,11.46,68.4
TZ,Tizón y Bueno,,,Tipo 106,106,1,361295.56,S/ 361.30,0,disponible,Disponible,1,$2000,39.01,7.55,46.56
TZ,Tizón y Bueno,,,Tipo 107,107,3,745111.11,S/ 745.11,591469.2,vendido,Separado/Vendido,1,$1939,71.39,17.22,88.61
NP,Torre Nápoles,NP-B,Torre B,,A216,,204057.81,S/ 204.06,0,no disponible,No Disponible,2,$1645,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,B202,,205234.56,S/ 205.23,0,no disponible,No Disponible,2,$1728,28.89,0,28.89
NP,Torre Nápoles,NP-B,Torre B,,A215,,250517.23,S/ 250.52,0,no disponible,No Disponible,2,$1612,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,B205,,251113.7,S/ 251.11,0,no disponible,No Disponible,2,$1612,37.89,0,37.89
NP,Torre Nápoles,NP-B,Torre B,,A212,,341926.77,S/ 341.93,0,no disponible,No Disponible,2,$1587,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,B201,,361342.84,S/ 361.34,0,no disponible,No Disponible,2,$1670,52.63,0,52.63
NP,Torre Nápoles,NP-B,Torre B,,A211,,361372.22,S/ 361.37,0,no disponible,No Disponible,2,$1587,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,B204,,365350.64,S/ 365.35,0,no disponible,No Disponible,2,$1571,56.58,0,56.58
NP,Torre Nápoles,NP-B,Torre B,,A214,,386958.58,S/ 386.96,0,no disponible,No Disponible,2,$1595,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A213,,389188.51,S/ 389.19,0,no disponible,No Disponible,2,$1595,59.34,0,59.34
NP,Torre Nápoles,NP-B,Torre B,,B203,,464482.74,S/ 464.48,0,no disponible,No Disponible,2,$1653,68.33,0,68.33
001,Edificio Valdizan,,,,201,,570500,S/ 570.50,460000,vendido,Separado/Vendido,2,$1792,67.55,0,67.55
UN,Edificio Unique,,,,202,,588700,S/ 588.70,0,disponible,Disponible,2,$1696,76.61,9.52,86.13
001,Edificio Valdizan,,,,202,,625200,S/ 625.20,597000,vendido,Separado/Vendido,2,$2122,74.02,0,74.02
001,Edificio Valdizan,,,,203,,629100,S/ 629.10,610700,vendido,Separado/Vendido,2,$2158,74.48,0,74.48
ES,Edificio Saenz,,,1,201,3,607917,S/ 607.92,607917,vendido,Separado/Vendido,2,$2032,78.73,0,78.73
ES,Edificio Saenz,,,2,202,3,461400,S/ 461.40,448460,proceso de separación,Separado/Vendido,2,$1575,74.92,0,74.92
URT,Los Jardines de Urteaga,,,201,201,3,803520,S/ 803.52,803520,vendido,Separado/Vendido,2,$1687,104.31,35.45,139.76
URT,Los Jardines de Urteaga,,,202,202,3,647640,S/ 647.64,647640,vendido,Separado/Vendido,2,$1701,96.03,7.08,103.11
NP,Torre Nápoles,NP-A,Torre A,204 - 34.58 - 1 dorm - Exterior,A204,1,233327.65,S/ 233.33,0,disponible,Disponible,2,$1630,34.82,0,34.82
NP,Torre Nápoles,NP-A,Torre A,209 - 44.63 - 1 dorm - Interior,A209,1,271440.53,S/ 271.44,0,disponible,Disponible,2,$1534,40.07,4.56,44.63
NP,Torre Nápoles,NP-A,Torre A,210 - 44.63- 1 dorm - Interior,A210,1,309187.62,S/ 309.19,0,disponible,Disponible,2,$1667,40.16,8.28,48.44
ES,Edificio Saenz,,,3,203,3,451380,S/ 451.38,451380,vendido,Separado/Vendido,2,$1585,74.92,0,74.92
ES,Edificio Saenz,,,4,204,3,614800,S/ 614.80,571764,vendido,Separado/Vendido,2,$1923,78.26,0,78.26
ES,Edificio Saenz,,,5,205,3,519000,S/ 519.00,519000,vendido,Separado/Vendido,2,$1595,85.64,0,85.64
ES,Edificio Saenz,,,6,206,3,466300,S/ 466.30,466300,vendido,Separado/Vendido,2,$1502,81.69,0,81.69
MT,Matera,MT-A,Torre A,AX01 - 54.57 - 2 dorm - Exterior,A201,2,493083.36,S/ 493.08,458567.52,vendido,Separado/Vendido,2,$2256,54.94,0,54.94
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A201,2,391075.07,S/ 391.08,351967.56,proceso de separación,Separado/Vendido,2,$1668,57.04,0,57.04
CP,Capadocia,CP-A,Torre A,AX01 - 68.81 - 3 dorm - Exterior,A201,3,628801.01,S/ 628.80,0,disponible,Disponible,2,$2140,69.59,0,69.59
CP,Capadocia,CP-A,Torre A,AX02 - 40.13 - 1 dorm - Exterior,A202,1,378722.31,S/ 378.72,0,disponible,Disponible,2,$2235,40.13,0,40.13
CP,Capadocia,CP-B,Torre B,AX02 - 40.13 - 1 dorm - Exterior,B202,1,633208.47,S/ 633.21,0,disponible,Disponible,2,$2378,63.07,0,63.07
MT,Matera,MT-A,Torre A,AX02 - 54.57 - 1 dorm - Exterior,A202,1,416881.11,S/ 416.88,0,disponible,Disponible,2,$2522,40.2,0,40.2
NP,Torre Nápoles,NP-A,Torre A,AX02 - 55.48 - 2 dorm - Exterior,A202,2,382285,S/ 382.29,0,disponible,Disponible,2,$1676,55.48,0,55.48
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A203,1,286559.87,S/ 286.56,0,disponible,Disponible,2,$1737,40.12,0,40.12
CP,Capadocia,CP-A,Torre A,AX03 - 40.63 - 1 dorm - Exterior,A203,1,391599.33,S/ 391.60,0,disponible,Disponible,2,$2283,40.63,0,40.63
MT,Matera,MT-A,Torre A,AX03 - 76.85 - 3 dorm - Exterior,A203,3,762522.78,S/ 762.52,0,disponible,Disponible,2,$2396,77.4,0,77.4
CP,Capadocia,CP-A,Torre A,AX04 - 31.20 - 1 dorm - Exterior,A204,1,313240.91,S/ 313.24,0,disponible,Disponible,2,$2378,31.2,0,31.2
MT,Matera,MT-A,Torre A,AX04 - 67.60 - 3 dorm - Interna,A204,3,599386.67,S/ 599.39,0,disponible,Disponible,2,$2145,67.98,0,67.98
MT,Matera,MT-A,Torre A,AX05 - 65.50 - 2 dorm - Interna,A205,2,524822.22,S/ 524.82,0,disponible,Disponible,2,$2259,56.51,0,56.51
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A205,3,441024.2,S/ 441.02,0,disponible,Disponible,2,$1630,65.81,0,65.81
MT,Matera,MT-A,Torre A,AX06 - 39.43 - 1 dorm - Interna,A206,1,382909.11,S/ 382.91,0,disponible,Disponible,2,$2227,41.82,0,41.82
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A206,3,455499.55,S/ 455.50,0,disponible,Disponible,2,$1614,68.65,0,68.65
MT,Matera,MT-A,Torre A,AX07 - 37.75 - 1 dorm - Interna,A207,1,374563.89,S/ 374.56,0,disponible,Disponible,2,$2277,40.02,0,40.02
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A207,2,374401.75,S/ 374.40,0,disponible,Disponible,2,$1596,57.06,0,57.06
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A208,1,273041.42,S/ 273.04,0,disponible,Disponible,2,$1657,40.09,0,40.09
MT,Matera,MT-A,Torre A,AX08 - 53.93 - 2 dorm - Interna,A208,2,489564.56,S/ 489.56,0,disponible,Disponible,2,$2208,53.93,0,53.93
MT,Matera,MT-A,Torre A,AX09 - 70.63 - 3 dorm - Interna,A209,3,626252.67,S/ 626.25,0,disponible,Disponible,2,$2143,71.08,0,71.08
CP,Capadocia,CP-B,Torre B,BX01 - 50.29 - 2 dorm - Interna,B201,2,426135.74,S/ 426.14,0,disponible,Disponible,2,$2007,50.29,0,50.29
MT,Matera,MT-B,Torre B,BX01 - 58.04 - 2 dorm - Interna,B201,2,539127.11,S/ 539.13,0,disponible,Disponible,2,$2311,56.75,0,56.75
MT,Matera,MT-B,Torre B,BX02 - 55.29 - 2 dorm - Interna,B202,2,513582.67,S/ 513.58,0,disponible,Disponible,2,$2259,55.29,0,55.29
MT,Matera,MT-B,Torre B,BX03 - 36.31 - 1 dorm - Interna,B203,1,360275.89,S/ 360.28,0,disponible,Disponible,2,$2408,36.39,0,36.39
CP,Capadocia,CP-B,Torre B,BX03 - 66.87 - 2 dorm - Externa,B203,2,644505.22,S/ 644.51,0,disponible,Disponible,2,$2283,66.87,0,66.87
MT,Matera,MT-B,Torre B,BX04 - 39.50 - 1 dorm - Interna,B204,1,383588.89,S/ 383.59,0,disponible,Disponible,2,$2333,40,0,40
CP,Capadocia,CP-B,Torre B,BX04 - 78.12 - 3 dorm - Externa,B204,3,829983.33,S/ 829.98,0,disponible,Disponible,2,$2500,78.63,0,78.63
CP,Capadocia,CP-B,Torre B,BX05 - 57.36 - 2 dorm - Interna,B205,2,542498.13,S/ 542.50,0,disponible,Disponible,2,$2240,57.36,0,57.36
MT,Matera,MT-B,Torre B,BX05 - 70.28 - 2 dorm - Externa,B205,3,697333.78,S/ 697.33,0,disponible,Disponible,2,$2393,70.88,0,70.88
CP,Capadocia,CP-B,Torre B,BX06 - 65.28 - 3 dorm - Interna,B206,3,573303.47,S/ 573.30,0,disponible,Disponible,2,$2080,65.28,0,65.28
MT,Matera,MT-B,Torre B,BX06 - 67.82 - 3 dorm - Externa,B206,3,687242.67,S/ 687.24,0,disponible,Disponible,2,$2452,68.18,0,68.18
CP,Capadocia,CP-B,Torre B,BX07 - 69.52 - 3 dorm - Interna,B207,3,585764.92,S/ 585.76,0,disponible,Disponible,2,$1988,69.79,0,69.79
CP,Capadocia,CP-B,Torre B,BX08 - 54.12 - 2 dorm - Interna,B208,2,478150.2,S/ 478.15,0,disponible,Disponible,2,$2093,54.12,0,54.12
TZ,Tizón y Bueno,,,Tipo 01 - A,201,2,486737.78,S/ 486.74,0,disponible,Disponible,2,$2000,57.64,0,57.64
TZ,Tizón y Bueno,,,Tipo 02 - A,202,3,682644.44,S/ 682.64,614380,proceso de separación,Separado/Vendido,2,$2100,76.99,0,76.99
TZ,Tizón y Bueno,,,Tipo 03 - A,203,3,525776.67,S/ 525.78,473198,vendido,Separado/Vendido,2,$1832,65.54,4.45,69.99
TZ,Tizón y Bueno,,,Tipo 04,204,3,560603.33,S/ 560.60,504543,proceso de separación,Separado/Vendido,2,$1850,71.77,0,71.77
TZ,Tizón y Bueno,,,Tipo 05,205,2,475760,S/ 475.76,428184,vendido,Separado/Vendido,2,$2000,56.34,0,56.34
TZ,Tizón y Bueno,,,Tipo 06,206,2,440567.78,S/ 440.57,396511,vendido,Separado/Vendido,2,$2050,50.9,0,50.9
TZ,Tizón y Bueno,,,Tipo 07,207,3,540967.78,S/ 540.97,486871,vendido,Separado/Vendido,2,$1800,71.18,0,71.18
SL,Sialia,,,Tipo 1,201,1,312444.44,S/ 312.44,0,disponible,Disponible,2,$1850,40,0,40
CUBA,Edificio Cuba Connect,,,Tipo 1,201,3,434887,S/ 434.89,434887,vendido,Separado/Vendido,2,$1455,78.67,0,78.67
CRUZ,Edificio Santa Cruz Infinite,,,Tipo 1,201,3,544700,S/ 544.70,395200,vendido,Separado/Vendido,2,$1447,71.85,0,71.85
MA,Edificio Mariategui,,,Tipo 1,201,3,647000,S/ 647.00,591740,vendido,Separado/Vendido,2,$1974,78.9,0,78.9
EEUU,Edificio Urbanzen,,,Tipo 1,201,3,738643.3,S/ 738.64,591802.2,vendido,Separado/Vendido,2,$1923,81,0,81
FX,Fenix,,,Tipo 1A,201,3,612726.78,S/ 612.73,0,disponible,Disponible,2,$2050,70.79,0,70.79
CUBA,Edificio Cuba Connect,,,TIPO 2,202,1,391602,S/ 391.60,379853.94,vendido,Separado/Vendido,2,$2033,49.17,0,49.17
SL,Sialia,,,TIPO 2,202,2,465802.94,S/ 465.80,0,disponible,Disponible,2,$1925,57.31,0,57.31
CRUZ,Edificio Santa Cruz Infinite,,,TIPO 2,202,1,538000,S/ 538.00,389900,proceso de separación,Separado/Vendido,2,$1446,70.94,0,70.94
EEUU,Edificio Urbanzen,,,TIPO 2,202,3,581124.88,S/ 581.12,510495.1,vendido,Separado/Vendido,2,$1917,70.08,0,70.08
MA,Edificio Mariategui,,,TIPO 2,202,3,615000,S/ 615.00,545000,vendido,Separado/Vendido,2,$1912,75,0,75
UN,Edificio Unique,,,Tipo 201,201,2,449700,S/ 449.70,0,disponible,Disponible,2,$1693,55.32,12.87,68.19
GY,Alicanto,,,Tipo 201,201,3,584698.65,S/ 584.70,0,disponible,Disponible,2,$1870,74.06,0,74.06
TP00,Tradiciones Prime,,,Tipo 201,201,3,1064337.83,S/ 1064.34,0,no disponible,No Disponible,2,$1942,129.05,1.44,130.49
GY,Alicanto,,,Tipo 202,202,3,554359.38,S/ 554.36,0,disponible,Disponible,2,$1860,70.58,0,70.58
TP00,Tradiciones Prime,,,Tipo 202,202,3,1062819.34,S/ 1062.82,995000.01,vendido,Separado/Vendido,2,$2022,128.66,1.73,130.39
EEUU,Edificio Urbanzen,,,Tipo 204,204,3,664289.57,S/ 664.29,597860.61,vendido,Separado/Vendido,2,$2034,74.98,4.85,79.83
SL,Sialia,,,Tipo 206,206,3,535477,S/ 535.48,0,disponible,Disponible,2,$1850,65.71,5.26,70.97
FX,Fenix,,,Tipo 2A,202,2,405685.92,S/ 405.69,361964,vendido,Separado/Vendido,2,$1645,57.89,0,57.89
GY,Alicanto,,,Tipo 3,203,1,315560.42,S/ 315.56,0,disponible,Disponible,2,$1868,40.02,0,40.02
EEUU,Edificio Urbanzen,,,Tipo 3,203,1,407275.56,S/ 407.28,0,disponible,Disponible,2,$2275,42.4,0,42.4
SL,Sialia,,,Tipo 3,203,2,413355.56,S/ 413.36,0,disponible,Disponible,2,$2000,48.95,0,48.95
CRUZ,Edificio Santa Cruz Infinite,,,Tipo 3,203,3,519700,S/ 519.70,392900,proceso de separación,Separado/Vendido,2,$1466,70.52,0,70.52
MA,Edificio Mariategui,,,Tipo 3,203,3,650777.17,S/ 650.78,575000,vendido,Separado/Vendido,2,$1907,79.36,0,79.36
CUBA,Edificio Cuba Connect,,,Tipo 3,203,3,664298,S/ 664.30,664298,vendido,Separado/Vendido,2,$2096,83.41,0,83.41
FX,Fenix,,,Tipo 3A,203,3,468689.21,S/ 468.69,421820,vendido,Separado/Vendido,2,$1638,67.78,0,67.78
MA,Edificio Mariategui,,,Tipo 4,204,1,331600,S/ 331.60,308388,vendido,Separado/Vendido,2,$2007,40.44,0,40.44
GY,Alicanto,,,Tipo 4,204,2,414538.21,S/ 414.54,0,disponible,Disponible,2,$1866,52.61,0,52.61
SL,Sialia,,,Tipo 4,204,3,491209.47,S/ 491.21,442088.52,vendido,Separado/Vendido,2,$1647,70.64,0,70.64
CRUZ,Edificio Santa Cruz Infinite,,,Tipo 4,204,3,549000,S/ 549.00,549000,vendido,Separado/Vendido,2,$2039,70.85,0,70.85
CUBA,Edificio Cuba Connect,,,Tipo 4,204,3,617707,S/ 617.71,455934,vendido,Separado/Vendido,2,$1547,77.56,0,77.56
FX,Fenix,,,Tipo 4A,204,2,431015,S/ 431.02,0,disponible,Disponible,2,$2027,50.35,0,50.35
GY,Alicanto,,,TIPO 5,205,2,435647.78,S/ 435.65,0,disponible,Disponible,2,$1912,53.96,0,53.96
CRUZ,Edificio Santa Cruz Infinite,,,TIPO 5,205,3,525200,S/ 525.20,407200,vendido,Separado/Vendido,2,$1504,71.27,0,71.27
SL,Sialia,,,TIPO 5,205,3,535483.33,S/ 535.48,0,disponible,Disponible,2,$1900,66.75,0,66.75
CUBA,Edificio Cuba Connect,,,TIPO 5,205,3,669395,S/ 669.40,669395,vendido,Separado/Vendido,2,$2096,84.05,0,84.05
FX,Fenix,,,Tipo 5A,205,3,519930.78,S/ 519.93,0,disponible,Disponible,2,$1850,65.99,1.06,67.05
GY,Alicanto,,,TIPO 6,206,3,504038.36,S/ 504.04,0,disponible,Disponible,2,$1694,70.49,0,70.49
CRUZ,Edificio Santa Cruz Infinite,,,TIPO 6,206,3,563800,S/ 563.80,486400,vendido,Separado/Vendido,2,$1759,72.76,0,72.76
CUBA,Edificio Cuba Connect,,,TIPO 6,206,3,647506,S/ 647.51,601632,vendido,Separado/Vendido,2,$1895,83.56,0,83.56
SL,Sialia,,,Tipo 7,207,3,574439.67,S/ 574.44,0,disponible,Disponible,2,$1950,69.77,0,69.77
SL,Sialia,,,Tipo 8A,208,3,531924,S/ 531.92,0,disponible,Disponible,2,$1800,69.99,0,69.99
MD,Modena,,,X01 - 40.02 - 1 dorm - Interior,201,1,355214.56,S/ 355.21,0,disponible,Disponible,2,$2102,40.02,0,40.02
MD,Modena,,,X02 - 73.57 - 3 dorm - Exterior,202,3,647416.15,S/ 647.42,0,disponible,Disponible,2,$2084,73.57,0,73.57
MD,Modena,,,X03 - 57.39 - 2 dorm - Exterior,203,2,508983,S/ 508.98,0,disponible,Disponible,2,$2111,57.1,0,57.1
MD,Modena,,,X04 - 54.76 - 2 dorm - Exterior,204,2,487322.26,S/ 487.32,0,disponible,Disponible,2,$2111,54.67,0,54.67
MD,Modena,,,X05 - 76.91 - 3 dorm - Exterior,205,3,676808.15,S/ 676.81,590000,vendido,Separado/Vendido,2,$2019,76.91,0,76.91
MD,Modena,,,X06 - 38.34 - 1 dorm - Interior,206,1,355835.87,S/ 355.84,0,disponible,Disponible,2,$2102,40.09,0,40.09
MD,Modena,,,X07 - 49.01 - 2 dorm - Interior,207,2,420124.99,S/ 420.12,0,disponible,Disponible,2,$2030,49.01,0,49.01
MD,Modena,,,X08 - 75.52 - 3 dorm - Interior,208,3,619893,S/ 619.89,0,disponible,Disponible,2,$1945,75.49,0,75.49
MD,Modena,,,X09 - 53.05 - 2 dorm - Interior,209,2,454499.63,S/ 454.50,0,disponible,Disponible,2,$2030,53.02,0,53.02
NP,Torre Nápoles,NP-B,Torre B,,A316,,195574.01,S/ 195.57,0,no disponible,No Disponible,3,$1577,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,B302,,197110.69,S/ 197.11,0,no disponible,No Disponible,3,$1660,28.89,0,28.89
NP,Torre Nápoles,NP-B,Torre B,,A315,,239887.87,S/ 239.89,0,no disponible,No Disponible,3,$1544,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,B305,,240459.03,S/ 240.46,0,no disponible,No Disponible,3,$1544,37.89,0,37.89
NP,Torre Nápoles,NP-B,Torre B,,A312,,327191.89,S/ 327.19,0,no disponible,No Disponible,3,$1519,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A311,,345799.37,S/ 345.80,0,no disponible,No Disponible,3,$1519,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,B301,,346543.29,S/ 346.54,0,no disponible,No Disponible,3,$1602,52.63,0,52.63
NP,Torre Nápoles,NP-B,Torre B,,B304,,349440.34,S/ 349.44,0,no disponible,No Disponible,3,$1502,56.58,0,56.58
NP,Torre Nápoles,NP-B,Torre B,,A314,,370367.78,S/ 370.37,0,no disponible,No Disponible,3,$1527,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A313,,372502.1,S/ 372.50,0,no disponible,No Disponible,3,$1527,59.34,0,59.34
NP,Torre Nápoles,NP-B,Torre B,,B303,,445268.35,S/ 445.27,0,no disponible,No Disponible,3,$1585,68.33,0,68.33
UN,Edificio Unique,,,,302,,537100,S/ 537.10,0,disponible,Disponible,3,$1660,76.61,0,76.61
001,Edificio Valdizan,,,,301,,562000,S/ 562.00,562000,vendido,Separado/Vendido,3,$2189,67.55,0,67.55
001,Edificio Valdizan,,,,302,,615800,S/ 615.80,600800,vendido,Separado/Vendido,3,$2136,74.02,0,74.02
001,Edificio Valdizan,,,,303,,619600,S/ 619.60,619600,vendido,Separado/Vendido,3,$2189,74.48,0,74.48
ES,Edificio Saenz,,,1,301,3,586900,S/ 586.90,546000,vendido,Separado/Vendido,3,$1825,78.73,0,78.73
ES,Edificio Saenz,,,2,302,3,451380,S/ 451.38,451380,vendido,Separado/Vendido,3,$1585,74.92,0,74.92
ES,Edificio Saenz,,,3,303,3,438460,S/ 438.46,438460,vendido,Separado/Vendido,3,$1540,74.92,0,74.92
ES,Edificio Saenz,,,4,304,3,614800,S/ 614.80,583060,vendido,Separado/Vendido,3,$1961,78.26,0,78.26
ES,Edificio Saenz,,,5,305,3,610823.4,S/ 610.82,610823.4,vendido,Separado/Vendido,3,$1877,85.64,0,85.64
ES,Edificio Saenz,,,6,306,3,417100,S/ 417.10,417100,vendido,Separado/Vendido,3,$1344,81.69,0,81.69
